n2 (NUM_PERIODS=5.11e+02) X,n2 (NUM_PERIODS=5.11e+02) Y,n2 (NUM_PERIODS=2.55e+02) X,n2 (NUM_PERIODS=2.55e+02) Y,n2 (NUM_PERIODS=1.27e+02) X,n2 (NUM_PERIODS=1.27e+02) Y,n2 (NUM_PERIODS=6.30e+01) X,n2 (NUM_PERIODS=6.30e+01) Y
0,0.4999999360183801,0,0.4999999360183799,0,0.4999999360183799,0,0.4999999360183799
1e-07,0.5240922107028794,1e-07,0.5120778240172768,1e-07,0.5060222990091691,1e-07,0.5029883629317445
2e-07,0.5475421944808335,2e-07,0.5241697524129997,2e-07,0.5120930495746211,2e-07,0.5060059559759881
3e-07,0.5691749749927574,3e-07,0.5360346701801725,3e-07,0.5181364159570462,3e-07,0.5090204440323876
4e-07,0.5881449761086063,4e-07,0.5475568360668073,4e-07,0.5241371586434219,4e-07,0.512029727761021
5e-07,0.603727657439053,5e-07,0.5586246585247527,5e-07,0.5300810381283533,5e-07,0.515032049908043
6e-07,0.6153297249197224,6e-07,0.5691311963244218,6e-07,0.5359538634515675,6e-07,0.5180256571363619
7e-07,0.6225105939077258,7e-07,0.5789754844765516,7e-07,0.5417416049899486,7e-07,0.5210087988050713
8e-07,0.6249987545418495,8e-07,0.5880632924230954,8e-07,0.5474304373975031,8e-07,0.5239797294928709
9e-07,0.6227018928944003,9e-07,0.5963078671781916,9e-07,0.5530067795648896,9e-07,0.5269367101938557
1e-06,0.6157108501949686,1e-06,0.6036306374287038,1e-06,0.5584573315806401,1e-06,0.5298780094801933
1.1e-06,0.604296577768371,1.1e-06,0.6099618843111551,1.1e-06,0.5637691083207959,1.1e-06,0.532801904675136
1.2e-06,0.5888999286767354,1.2e-06,0.6152413650180687,1.2e-06,0.5689294701423264,1.2e-06,0.5357066830217899
1.3e-06,0.570113845718826,1.3e-06,0.6194188699938414,1.3e-06,0.5739261513277192,1.3e-06,0.5385906428391982
1.4e-06,0.5486566707614794,1.4e-06,0.622454697874822,1.4e-06,0.5787472868838842,1.4e-06,0.5414520946589758
1.5e-06,0.5253373514855906,1.5e-06,0.6243200369627901,1.5e-06,0.5833814381509242,1.5e-06,0.5442893623372714
1.6e-06,0.5010261064082751,1.6e-06,0.6249972458578297,1.6e-06,0.5878176175036214,1.6e-06,0.5471007841384676
1.699999999999999e-06,0.4766455350007781,1.699999999999999e-06,0.6244800287577761,1.699999999999999e-06,0.5920453122774773,1.699999999999999e-06,0.5498847137886109
1.799999999999999e-06,0.4531465524293181,1.799999999999999e-06,0.6227735023963005,1.799999999999999e-06,0.5960545079400779,1.799999999999999e-06,0.5526395214979555
1.899999999999999e-06,0.4314484112960869,1.899999999999999e-06,0.6198941547883787,1.899999999999999e-06,0.5998357104578195,1.899999999999999e-06,0.5553635949531351
1.999999999999999e-06,0.4123882090948111,1.999999999999999e-06,0.6158696939902363,1.999999999999999e-06,0.6033799677698295,1.999999999999999e-06,0.5580553402803194
